subset,site_id,layer,segment,events,points,ccc,rmse_mm,mae_mm,bias_mm,layer_label,segment_label,segment_short
clean_stageII_48h,405,moisture_8in,post3_mid_storage,18,261,0.9910512860758788,0.5281023425434387,0.3634270959827084,-0.0407012766439527,8 in,Post-3 h mid-storage,Mid-storage
clean_stageII_48h,405,moisture_8in,post3_late_storage,21,317,0.9959851823002078,0.3617474811570522,0.2927026021339875,-0.0221956267091468,8 in,Post-3 h low-storage tail,Low-storage
clean_stageII_48h,450,moisture_8in,early_0_3h,18,216,0.9017259575192526,0.7327890616126198,0.552805238653445,0.1189169526018075,8 in,"Early transient, 0-3 h",Early
clean_stageII_48h,450,moisture_8in,post3_mid_storage,11,168,0.9675690152772184,0.2727460206537722,0.20890184399291,0.0080958021473131,8 in,Post-3 h mid-storage,Mid-storage
clean_stageII_48h,450,moisture_8in,post3_late_storage,18,563,0.9854310507340795,0.3111013798269985,0.2269233881352277,-0.0646913354495591,8 in,Post-3 h low-storage tail,Low-storage
clean_stageII_48h,460,moisture_8in,early_0_3h,9,108,0.9422870309582212,0.6048348555879536,0.4833424099133517,0.0040840749586155,8 in,"Early transient, 0-3 h",Early
clean_stageII_48h,460,moisture_8in,post3_late_storage,9,339,0.9833588592367244,0.3223742185202841,0.186337578430856,-0.0252124892646233,8 in,Post-3 h low-storage tail,Low-storage
clean_stageII_48h,490,moisture_8in,early_0_3h,14,168,0.982637934258471,0.7275206778211815,0.4166816766192733,0.0972637010190142,8 in,"Early transient, 0-3 h",Early
clean_stageII_48h,490,moisture_8in,post3_mid_storage,10,168,0.9412022337533904,0.6909885964584327,0.4029456358824332,0.0374425006403064,8 in,Post-3 h mid-storage,Mid-storage
clean_stageII_48h,490,moisture_8in,post3_late_storage,14,225,0.9899501508972656,0.5557087694304156,0.2416204163671492,-0.0417471529615477,8 in,Post-3 h low-storage tail,Low-storage
clean_stageII_48h,125,moisture_12in,early_0_3h,22,264,0.971454857037618,0.8021910298244451,0.5320113030783161,0.158918191752227,12 in,"Early transient, 0-3 h",Early
clean_stageII_48h,125,moisture_12in,post3_mid_storage,16,184,0.9839810764804412,0.5424588591674716,0.2641040921352124,0.0553191674147734,12 in,Post-3 h mid-storage,Mid-storage
clean_stageII_48h,125,moisture_12in,post3_late_storage,22,472,0.9936543016897056,0.3605681227979896,0.2575458181643884,0.0106735283018926,12 in,Post-3 h low-storage tail,Low-storage
clean_stageII_48h,405,moisture_12in,early_0_3h,26,312,0.9944913858688216,0.5250019014036612,0.3739180481306505,0.0556186123769683,12 in,"Early transient, 0-3 h",Early
clean_stageII_48h,405,moisture_12in,post3_mid_storage,21,362,0.982833706053901,0.6221681285397745,0.4602973838055753,-0.0043992143994106,12 in,Post-3 h mid-storage,Mid-storage
