layer,regime_proxy,storage_bin,storage_norm,loss_mm_h_median,loss_mm_h_q25,loss_mm_h_q75,points
moisture_20in,stage-I-like,"(0.4, 0.467]",0.43146152537380367,0.20319999999999538,0.16255999999998494,0.2722879999999961,29
moisture_20in,stage-I-like,"(0.467, 0.533]",0.5009566563144218,0.2032000000000025,0.16255999999999915,0.2540000000000049,24
moisture_20in,stage-I-like,"(0.533, 0.6]",0.567871181234923,0.16256000000001336,0.16255999999999915,0.2641600000000004,27
moisture_20in,stage-I-like,"(0.6, 0.667]",0.6318752644539795,0.20319999999999538,0.16256000000000626,0.24383999999999517,23
moisture_20in,stage-I-like,"(0.667, 0.733]",0.6973961572204429,0.1625600000000027,0.16255999999999915,0.24383999999999695,30
moisture_20in,stage-I-like,"(0.733, 0.8]",0.765540961288572,0.16255999999999915,0.10159999999999769,0.2235200000000006,31
moisture_20in,stage-I-like,"(0.8, 0.867]",0.829039101501945,0.16255999999999915,0.12192000000000114,0.24383999999999517,28
moisture_20in,stage-I-like,"(0.867, 0.933]",0.8960710096232027,0.16256000000001336,0.12192000000000291,0.24383999999999162,27
moisture_20in,stage-I-like,"(0.933, 1.0]",0.9674386248435174,0.12192000000001713,0.08127999999999602,0.16255999999999915,34
moisture_20in,stage-II-like,"(-0.001, 0.0667]",0.030101905751820496,0.06096000000000146,0.040639999999996235,0.08128000000000668,888
moisture_20in,stage-II-like,"(0.0667, 0.133]",0.09833564985510049,0.08128000000000668,0.07721599999999995,0.16255999999999204,561
moisture_20in,stage-II-like,"(0.133, 0.2]",0.16507273749521523,0.16255999999999204,0.12191999999999581,0.2032000000000096,379
moisture_20in,stage-II-like,"(0.2, 0.267]",0.2320600491066443,0.2032000000000025,0.12192000000000291,0.28448000000000206,289
moisture_20in,stage-II-like,"(0.267, 0.333]",0.29847454542028967,0.24384000000000583,0.16256000000000626,0.36576000000000164,222
moisture_20in,stage-II-like,"(0.333, 0.4]",0.36551066724284265,0.3251199999999983,0.24383999999999162,0.48767999999999745,161
moisture_20in,stage-II-like,"(0.4, 0.467]",0.43326372412535813,0.40639999999999077,0.28447999999998785,0.6096000000000004,137
moisture_20in,stage-II-like,"(0.467, 0.533]",0.4995861438562363,0.4470400000000083,0.3251199999999983,0.7721599999999995,121
moisture_20in,stage-II-like,"(0.533, 0.6]",0.5672182586006299,0.4470400000000083,0.36575999999999453,0.7315199999999962,99
moisture_20in,stage-II-like,"(0.6, 0.667]",0.6316827012737143,0.5080000000000027,0.40030399999999666,0.8737600000000043,94
moisture_20in,stage-II-like,"(0.667, 0.733]",0.6983939260543982,0.5689599999999899,0.406400000000005,0.8534400000000062,83
moisture_20in,stage-II-like,"(0.733, 0.8]",0.7629052329969952,0.5689600000000041,0.48767999999999745,1.0566400000000158,73
moisture_20in,stage-II-like,"(0.8, 0.867]",0.8312145369273898,0.6096000000000004,0.447039999999987,1.0769599999999926,79
moisture_20in,stage-II-like,"(0.867, 0.933]",0.9010062231017106,0.6095999999999862,0.36575999999999453,0.8940800000000024,85
moisture_20in,stage-II-like,"(0.933, 1.0]",0.9739538926315355,0.16256000000001336,0.08127999999999247,0.4063999999999961,170
moisture_4in,early-transient-heavy,"(-0.001, 0.0667]",0.032764494288423096,0.16256000000001336,0.08128000000000668,0.3251199999999983,1412
moisture_4in,early-transient-heavy,"(0.0667, 0.133]",0.09898222962356888,0.28448000000000206,0.16255999999999915,0.5283200000000079,1091
moisture_4in,early-transient-heavy,"(0.133, 0.2]",0.16669131994632383,0.32105600000000223,0.1625600000000098,0.5689599999999935,927
moisture_4in,early-transient-heavy,"(0.2, 0.267]",0.23291280685106602,0.3251199999999983,0.20319999999998117,0.6095999999999862,859
moisture_4in,early-transient-heavy,"(0.267, 0.333]",0.29968938073687723,0.3251199999999983,0.20319999999999538,0.6096000000000039,803
moisture_4in,early-transient-heavy,"(0.333, 0.4]",0.3650907225367905,0.3251199999999983,0.20319999999999538,0.5689600000000041,757
moisture_4in,early-transient-heavy,"(0.4, 0.467]",0.43411953117991614,0.32512000000000185,0.2032000000000096,0.6096000000000004,738
moisture_4in,early-transient-heavy,"(0.467, 0.533]",0.499329349834115,0.3251200000000054,0.2032000000000096,0.6095999999999862,629
moisture_4in,early-transient-heavy,"(0.533, 0.6]",0.5675590157748954,0.36575999999999453,0.2316480000000034,0.678687999999994,673
